No,dist,elevation,azimuth,dist_s2r,dist_r2s,Split,GroundTruth,Predicted,Error(mm)
394,480,25,300,4.674786667,3.402293145,Training,8.08,8.04,0.04
395,480,25,330,7.854949982,3.323334865,Training,11.18,8.53,2.65
396,480,30,0,5.642008813,4.357488935,Training,10.00,8.24,1.76
313,460,30,30,6.9232006,4.896079911,Validation,11.82,7.24,4.58
398,480,30,60,5.469337611,3.277916815,Training,8.75,7.42,1.33
399,480,30,90,7.946423006,4.374397259,Training,12.32,7.19,5.13
400,480,30,120,6.635452129,2.881595288,Training,9.52,10.57,1.06
401,480,30,150,4.562808723,3.365411366,Validation,7.93,9.52,1.59
402,480,30,180,4.864256631,4.026178703,Training,8.89,8.02,0.87
403,480,30,210,4.758294136,3.482073325,Training,8.24,10.19,1.95
404,480,30,240,5.419632436,3.698841302,Training,9.12,6.01,3.11
405,480,30,270,7.14043686,5.321301517,Training,12.46,7.61,4.85
406,480,30,300,5.341514371,2.501702251,Training,7.84,7.71,0.14
407,480,30,330,5.811598371,3.836884581,Training,9.65,8.16,1.49
408,480,35,0,6.924131147,3.270584467,Training,10.19,8.73,1.46
397,480,30,30,5.253768544,3.158192093,Training,8.41,7.19,1.23
410,480,35,60,4.796315029,3.517748044,Training,8.31,8.03,0.28
411,480,35,90,5.049387992,3.129623017,Training,8.18,7.01,1.17
412,480,35,120,7.554244195,4.170166273,Training,11.72,10.22,1.50
413,480,35,150,4.447246961,3.111699931,Validation,7.56,9.92,2.36
414,480,35,180,5.782494439,3.247869016,Training,9.03,6.11,2.92
415,480,35,210,5.398676551,4.234574839,Training,9.63,6.90,2.74
416,480,35,240,3.934971249,3.770155217,Training,7.71,6.70,1.01
417,480,35,270,3.275627895,2.760289881,Training,6.04,5.31,0.72
418,480,35,300,6.46627095,3.875570159,Training,10.34,8.21,2.13
419,480,35,330,5.214776415,5.297936442,Training,10.51,7.80,2.71
420,500,5,0,6.201096815,4.091317857,Training,10.29,8.18,2.11
481,500,30,30,4.761330483,3.49745068,Training,8.26,7.12,1.14
422,500,5,60,5.381880801,4.6704645,Training,10.05,6.87,3.18
423,500,5,90,4.097631545,3.148234218,Training,7.25,7.23,0.02
424,500,5,120,4.936653974,3.323729789,Training,8.26,8.08,0.18
425,500,5,150,8.646535392,4.917847075,Training,13.56,10.55,3.01
426,500,5,180,3.912577822,3.244384867,Training,7.16,6.34,0.82
427,500,5,210,5.573341119,3.511876974,Training,9.09,6.13,2.96
428,500,5,240,4.266883154,3.527246574,Training,7.79,6.31,1.48
429,500,5,270,4.824810318,4.359253622,Training,9.18,6.65,2.53
430,500,5,300,5.339901575,4.111078255,Training,9.45,5.25,4.20
431,500,5,330,5.212693746,4.301908065,Training,9.51,8.00,1.52
432,500,10,0,6.047384655,5.518156056,Training,11.57,8.11,3.46
73,400,35,30,5.359276256,3.263170976,Training,8.62,7.12,1.51
434,500,10,60,5.091339526,4.21918285,Training,9.31,6.70,2.61
435,500,10,90,5.422169754,5.023522801,Validation,10.45,8.04,2.41
436,500,10,120,5.478939034,3.529769942,Training,9.01,8.30,0.71
437,500,10,150,4.267818501,3.08118563,Training,7.35,10.62,3.27
438,500,10,180,8.762860393,4.673938077,Training,13.44,7.37,6.07
439,500,10,210,5.430782937,2.521115724,Training,7.95,6.78,1.17
440,500,10,240,4.079474365,3.359356914,Training,7.44,11.37,3.93
441,500,10,270,4.923578805,3.688618845,Training,8.61,5.95,2.66
442,500,10,300,5.893102275,2.811710851,Training,8.70,7.10,1.60
443,500,10,330,5.236445763,3.319374306,Validation,8.56,7.32,1.23
444,500,15,0,9.610482562,3.038228184,Training,12.65,8.48,4.17
157,420,35,30,7.261594909,4.113199718,Training,11.37,7.33,4.05
446,500,15,60,6.787640534,4.912184651,Training,11.70,7.51,4.19
447,500,15,90,5.618859094,3.371090023,Training,8.99,7.65,1.34
448,500,15,120,4.433455967,2.513256766,Validation,6.95,10.97,4.02
449,500,15,150,4.915823205,3.21888994,Validation,8.13,10.74,2.60
450,500,15,180,3.506638284,2.300781627,Validation,5.81,7.82,2.01
451,500,15,210,3.76459751,2.447121322,Training,6.21,5.52,0.69
452,500,15,240,3.929051141,3.302382006,Training,7.23,5.41,1.82
453,500,15,270,7.512836964,2.615134256,Training,10.13,6.49,3.64
454,500,15,300,7.129301346,3.309176783,Training,10.44,7.26,3.18
455,500,15,330,6.693902364,3.444586609,Training,10.14,7.52,2.62
456,500,20,0,6.74929115,3.811101429,Training,10.56,8.05,2.51
241,440,35,30,3.479119401,2.274791779,Validation,5.75,7.35,1.60
458,500,20,60,6.551477245,4.626202813,Validation,11.18,8.01,3.17
459,500,20,90,4.69276425,3.125260812,Validation,7.82,7.61,0.21
460,500,20,120,4.11295213,2.691139788,Training,6.80,5.76,1.05
461,500,20,150,5.679268037,3.257154194,Training,8.94,8.20,0.73
462,500,20,180,2.802529216,2.378581873,Training,5.18,6.63,1.45
463,500,20,210,4.506514904,3.061187321,Training,7.57,5.76,1.80
464,500,20,240,4.179584523,3.404749009,Training,7.58,6.06,1.53
465,500,20,270,7.229518112,3.473157625,Validation,10.70,6.80,3.90
466,500,20,300,6.783619352,3.247936163,Validation,10.03,7.33,2.70
467,500,20,330,12.06781329,5.162981661,Training,17.23,8.12,9.11
468,500,25,0,10.61096729,4.454697442,Training,15.07,8.12,6.94
325,460,35,30,5.802610256,3.925517854,Training,9.73,7.79,1.93
470,500,25,60,10.72701686,4.751194199,Training,15.48,7.53,7.95
471,500,25,90,6.907022968,3.181873725,Training,10.09,7.46,2.63
472,500,25,120,4.252600309,2.718758063,Validation,6.97,5.54,1.43
473,500,25,150,5.19391595,3.244748619,Training,8.44,5.16,3.28
474,500,25,180,3.249552877,2.677421532,Validation,5.93,6.84,0.91
475,500,25,210,3.970075906,2.706649347,Training,6.68,5.81,0.86
476,500,25,240,13.87348732,5.380371322,Training,19.25,7.70,11.56
477,500,25,270,18.16886346,4.108435738,Training,22.28,12.15,10.13
478,500,25,300,10.54703197,5.607153033,Training,16.15,8.04,8.12
479,500,25,330,11.56280853,3.887503097,Training,15.45,8.53,6.92
480,500,30,0,5.079869713,5.589091749,Validation,10.67,8.30,2.37
409,480,35,30,5.062452185,4.538574457,Training,9.60,7.79,1.81
482,500,30,60,4.320092263,3.248758592,Training,7.57,7.42,0.15
483,500,30,90,4.235761143,3.288113929,Training,7.52,7.19,0.34
484,500,30,120,4.170755534,4.327483914,Validation,8.50,11.05,2.55
485,500,30,150,5.578744515,3.628035932,Training,9.21,9.53,0.32
486,500,30,180,8.160360062,5.843711996,Training,14.00,9.45,4.55
487,500,30,210,17.50630257,3.987178391,Training,21.49,10.22,11.27
488,500,30,240,5.127973078,3.413261841,Validation,8.54,5.89,2.65
489,500,30,270,6.969163561,2.824861588,Training,9.79,9.04,0.75
490,500,30,300,4.790507813,3.096036012,Training,7.89,7.69,0.20
491,500,30,330,6.78600479,4.145437178,Validation,10.93,8.16,2.77
